ITEM_CD,ITEM_NM,CAT_NM,SELL_PRC
UM-TS-001,베이직 코튼 티셔츠 (브라운),상의,52000
UM-TS-002,오버핏 반팔 티셔츠 (차콜),상의,44000
UM-TS-003,오버핏 반팔 티셔츠 (그레이),상의,80000
UM-TS-004,스트라이프 긴팔 티셔츠 (버건디),상의,51000
UM-TS-005,스트라이프 긴팔 티셔츠 (카키),상의,50000
UM-TS-006,스트라이프 긴팔 티셔츠 (네이비),상의,86000
UM-TS-007,피케 카라 티셔츠 (베이지),상의,50000
UM-TS-008,크롭 슬리브리스 (화이트),상의,64000
UM-TS-009,크롭 슬리브리스 (브라운),상의,67000
UM-TS-010,루즈핏 맨투맨 (버건디),상의,34000
UM-TS-011,루즈핏 맨투맨 (차콜),상의,88000
UM-TS-012,루즈핏 맨투맨 (그레이),상의,48000
UM-TS-013,기모 후드 스웨트셔츠 (차콜),상의,24000
UM-TS-014,기모 후드 스웨트셔츠 (화이트),상의,57000
UM-TS-015,기모 후드 스웨트셔츠 (카키),상의,20000
UM-TS-016,립 니트 풀오버 (아이보리),상의,79000
UM-TS-017,립 니트 풀오버 (화이트),상의,57000
UM-TS-018,립 니트 풀오버 (그레이),상의,83000
UM-TS-019,케이블 니트 가디건 (베이지),상의,88000
UM-TS-020,케이블 니트 가디건 (그레이),상의,45000
UM-TS-021,옥스퍼드 셔츠 (차콜),상의,55000
UM-TS-022,옥스퍼드 셔츠 (네이비),상의,48000
UM-TS-023,린넨 오버셔츠 (아이보리),상의,31000
UM-TS-024,실크 블라우스 (차콜),상의,26000
UM-TS-025,하프집 니트 (그레이),상의,65000
UM-TS-026,하프집 니트 (브라운),상의,45000
UM-TS-027,하프집 니트 (카키),상의,87000
UM-TS-028,그래픽 프린팅 티셔츠 (브라운),상의,87000
UM-TS-029,그래픽 프린팅 티셔츠 (버건디),상의,56000
UM-TS-030,그래픽 프린팅 티셔츠 (베이지),상의,82000
UM-TS-031,터틀넥 이너 (차콜),상의,34000
UM-TS-032,슬럽 라운드 티셔츠 (화이트),상의,45000
UM-TS-033,와플 조직 롱슬리브 (카키),상의,52000
UM-TS-034,빈티지 워싱 티셔츠 (네이비),상의,66000
UM-TS-035,빈티지 워싱 티셔츠 (차콜),상의,23000
UM-TS-036,캐시미어 혼방 니트 (그레이),상의,53000
UM-TS-037,브이넥 베이직 니트 (베이지),상의,33000
UM-BT-001,와이드 데님 팬츠 (아이보리),하의,49000
UM-BT-002,와이드 데님 팬츠 (블랙),하의,78000
UM-BT-003,슬림핏 청바지 (차콜),하의,70000
UM-BT-004,스트레이트 워싱 데님 (화이트),하의,60000
UM-BT-005,테이퍼드 슬랙스 (그레이),하의,117000
UM-BT-006,테이퍼드 슬랙스 (버건디),하의,66000
UM-BT-007,와이드 슬랙스 (블랙),하의,104000
UM-BT-008,와이드 슬랙스 (브라운),하의,91000
UM-BT-009,코튼 치노 팬츠 (버건디),하의,67000
UM-BT-010,코튼 치노 팬츠 (블랙),하의,111000
UM-BT-011,카고 조거 팬츠 (네이비),하의,87000
UM-BT-012,카고 조거 팬츠 (차콜),하의,66000
UM-BT-013,트레이닝 스웨트 팬츠 (카키),하의,127000
UM-BT-014,플리츠 롱스커트 (화이트),하의,71000
UM-BT-015,플리츠 롱스커트 (네이비),하의,106000
UM-BT-016,데님 미니스커트 (블랙),하의,115000
UM-BT-017,린넨 밴딩 팬츠 (카키),하의,44000
UM-BT-018,린넨 밴딩 팬츠 (그레이),하의,80000
UM-BT-019,린넨 밴딩 팬츠 (차콜),하의,38000
UM-BT-020,코듀로이 팬츠 (아이보리),하의,92000
UM-BT-021,하이웨스트 밴딩 슬랙스 (버건디),하의,93000
UM-BT-022,숏 데님 팬츠 (그레이),하의,81000
UM-BT-023,숏 데님 팬츠 (네이비),하의,115000
UM-BT-024,점프수트 (버건디),하의,53000
UM-BT-025,점프수트 (브라운),하의,111000
UM-OT-001,오버핏 블레이저 (네이비),아우터,375000
UM-OT-002,오버핏 블레이저 (카키),아우터,347000
UM-OT-003,오버핏 블레이저 (버건디),아우터,332000
UM-OT-004,싱글 코트 (그레이),아우터,251000
UM-OT-005,싱글 코트 (차콜),아우터,202000
UM-OT-006,핸드메이드 울 코트 (카키),아우터,298000
UM-OT-007,핸드메이드 울 코트 (아이보리),아우터,115000
UM-OT-008,트렌치 코트 (버건디),아우터,277000
UM-OT-009,트렌치 코트 (아이보리),아우터,356000
UM-OT-010,숏 패딩 점퍼 (아이보리),아우터,227000
UM-OT-011,숏 패딩 점퍼 (카키),아우터,82000
UM-OT-012,숏 패딩 점퍼 (버건디),아우터,224000
UM-OT-013,롱 구스다운 패딩 (카키),아우터,179000
UM-OT-014,롱 구스다운 패딩 (블랙),아우터,174000
UM-OT-015,무스탕 자켓 (차콜),아우터,113000
UM-OT-016,레더 라이더 자켓 (베이지),아우터,145000
UM-OT-017,레더 라이더 자켓 (카키),아우터,337000
UM-OT-018,바람막이 아노락 (카키),아우터,388000
UM-OT-019,바람막이 아노락 (베이지),아우터,208000
UM-OT-020,플리스 집업 (차콜),아우터,189000
UM-OT-021,데님 트러커 자켓 (그레이),아우터,163000
UM-OT-022,데님 트러커 자켓 (블랙),아우터,258000
UM-OT-023,퀼팅 베스트 (버건디),아우터,383000
UM-OT-024,더플 코트 (차콜),아우터,374000
UM-OT-025,더플 코트 (화이트),아우터,386000
UM-OT-026,가디건형 자켓 (베이지),아우터,121000
UM-SH-001,레더 스니커즈 (화이트),신발,129000
UM-SH-002,레더 스니커즈 (브라운),신발,238000
UM-SH-003,캔버스 스니커즈 (카키),신발,207000
UM-SH-004,캔버스 스니커즈 (차콜),신발,120000
UM-SH-005,청키 러닝화 (아이보리),신발,90000
UM-SH-006,청키 러닝화 (화이트),신발,246000
UM-SH-007,로퍼 (베이지),신발,103000
UM-SH-008,로퍼 (화이트),신발,215000
UM-SH-009,로퍼 (블랙),신발,164000
UM-SH-010,첼시 부츠 (블랙),신발,188000
UM-SH-011,앵클 워커 (브라운),신발,156000
UM-SH-012,앵클 워커 (버건디),신발,201000
UM-SH-013,더비 슈즈 (아이보리),신발,217000
UM-SH-014,슬립온 (아이보리),신발,110000
UM-SH-015,슬립온 (버건디),신발,113000
UM-SH-016,스트랩 샌들 (카키),신발,162000
UM-SH-017,뮬 슬리퍼 (베이지),신발,163000
UM-SH-018,발레리나 플랫 (베이지),신발,248000
UM-SH-019,발레리나 플랫 (차콜),신발,182000
UM-SH-020,발레리나 플랫 (블랙),신발,230000
UM-SH-021,하이탑 스니커즈 (카키),신발,190000
UM-SH-022,트레킹 스니커즈 (카키),신발,146000
UM-SH-023,트레킹 스니커즈 (블랙),신발,110000
UM-SH-024,패딩 부츠 (블랙),신발,142000
UM-AC-001,레더 크로스백 (아이보리),액세서리,69000
UM-AC-002,캔버스 에코백 (차콜),액세서리,86000
UM-AC-003,캔버스 에코백 (브라운),액세서리,16000
UM-AC-004,미니 숄더백 (브라운),액세서리,16000
UM-AC-005,미니 숄더백 (버건디),액세서리,40000
UM-AC-006,더플 백팩 (화이트),액세서리,27000
UM-AC-007,더플 백팩 (카키),액세서리,14000
UM-AC-008,더플 백팩 (버건디),액세서리,18000
UM-AC-009,가죽 카드지갑 (버건디),액세서리,76000
UM-AC-010,반지갑 (차콜),액세서리,62000
UM-AC-011,니트 머플러 (블랙),액세서리,80000
UM-AC-012,니트 머플러 (베이지),액세서리,52000
UM-AC-013,니트 머플러 (아이보리),액세서리,56000
UM-AC-014,캐시미어 스카프 (브라운),액세서리,32000
UM-AC-015,캐시미어 스카프 (차콜),액세서리,64000
UM-AC-016,볼캡 (네이비),액세서리,36000
UM-AC-017,볼캡 (블랙),액세서리,31000
UM-AC-018,버킷햇 (버건디),액세서리,54000
UM-AC-019,버킷햇 (브라운),액세서리,66000
UM-AC-020,비니 (베이지),액세서리,89000
UM-AC-021,비니 (네이비),액세서리,25000
UM-AC-022,비니 (블랙),액세서리,20000
UM-AC-023,레더 벨트 (네이비),액세서리,86000
UM-AC-024,실버 체인 목걸이 (버건디),액세서리,55000
UM-AC-025,데일리 이어링 (블랙),액세서리,84000
UM-AC-026,메탈 시계 (그레이),액세서리,68000
UM-AC-027,메탈 시계 (베이지),액세서리,74000
UM-AC-028,울 장갑 (네이비),액세서리,45000
UM-AC-029,양말 3종 세트 (차콜),액세서리,14000
UM-AC-030,선글라스 (블랙),액세서리,14000
UM-AC-031,선글라스 (카키),액세서리,76000
